software_name,aliases,op_type,platform,package_manager,summary,steps,commands,pre_requirements,notes,mode
gpt-oss,,install,all,npm,"开源 GPT 工具","配置淘宝镜像后安装","npm config set registry https://registry.npmmirror.com; npm install -g gpt-oss",nodejs>=18,,strict
opencode-cli,,install,all,npm,"AI 辅助 CLI 工具","配置淘宝镜像后安装","npm config set registry https://registry.npmmirror.com; npm install -g opencode-cli",nodejs>=18,,strict
deepseek,,install,linux,curl,"DeepSeek 模型本地部署","1. 安装 Ollama; 2. 拉取 deepseek-r1 模型","curl -fsSL --connect-timeout 30 https://ollama.com/install.sh | sh; ollama pull deepseek-r1",,,模型下载需要稳定网络，建议配合代理,strict
deepseek,,update,all,ollama,"更新 DeepSeek 模型","拉取最新模型","ollama pull deepseek-r1",,,strict
llamaedge,,install,all,cargo,"边缘 AI 运行时","配置中科大镜像后安装","mkdir -p ~/.cargo && echo '[source.crates-io]\nreplace-with = "ustc"\n[source.ustc]\nregistry = "sparse+https://mirrors.ustc.edu.cn/crates.io-index/"' > ~/.cargo/config.toml; cargo install llamaedge",rust,,strict
llama.cpp,,install,all,git,"高性能 LLM 推理","克隆仓库并编译（优先使用 Gitee 镜像）","git clone --depth 1 https://gitee.com/mirrors/llama.cpp.git; cd llama.cpp; make -j$(nproc)",,,原仓库在 GitHub，Gitee 镜像可能不实时,strict
llama.cpp,llama-github,install,all,git,"高性能 LLM 推理（GitHub 源，需网络通畅）","从 GitHub 克隆并编译","git clone --depth 1 https://github.com/ggerganov/llama.cpp; cd llama.cpp; make -j$(nproc)",,,国内访问不稳定,strict
llama.cpp,,update,all,git,"更新 llama.cpp","拉取最新代码并重新编译","cd llama.cpp; git pull; make clean && make -j$(nproc)",,,strict
vllm,,install,all,pip,"高性能 LLM 服务引擎","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install vllm",python>=3.10,,strict
microsoft.extensions.ai,,install,all,dotnet,".NET AI 扩展库","使用 dotnet 添加包","dotnet add package Microsoft.Extensions.AI",.NET SDK,,strict
baseai,,install,all,curl,"AI 基础工具链","执行安装脚本","curl -fsSL --connect-timeout 30 https://get.baseai.dev | sh",,,国内可访问,strict
ai-cli,,install,all,npm,"终端 AI 助手","配置淘宝镜像后安装","npm config set registry https://registry.npmmirror.com; npm install -g ai-cli",nodejs>=18,,strict
txtai,,install,all,pip,"语义搜索与工作流","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install txtai",python>=3.9,,strict
aingdesk,,install,all,npm,"AI 桌面客户端","配置淘宝镜像后安装","npm config set registry https://registry.npmmirror.com; npm install -g aingdesk",nodejs>=18,,strict
sourcegraph-cody,,install,all,npm,"代码搜索与 AI 助手","配置淘宝镜像后安装","npm config set registry https://registry.npmmirror.com; npm install -g @sourcegraph/cody",nodejs>=18,,strict
langchain,,install,all,pip,"LLM 应用框架","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install langchain",python>=3.10,,strict
langchain,,update,all,pip,"更新 LangChain","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade langchain",,,strict
open-webui,,install,all,docker,"AI 聊天 WebUI（使用阿里云容器镜像加速）","拉取镜像并运行，优先使用阿里云代理","docker run -d -p 3000:8080 --name open-webui ghcr.io/open-webui/open-webui:main",docker,拉取失败可尝试 docker.1ms.run 代理,strict
open-webui,,update,all,docker,"更新 Open WebUI","拉取新镜像并重启容器","docker pull ghcr.io/open-webui/open-webui:main; docker stop open-webui; docker rm open-webui; docker run -d -p 3000:8080 --name open-webui ghcr.io/open-webui/open-webui:main",,,strict
podman,,install,linux-debian,apt,"无守护进程容器引擎","使用 apt 安装","sudo apt update && sudo apt install -y podman",,,strict
podman,,install,linux-rhel,dnf,"无守护进程容器引擎","使用 dnf 安装","sudo dnf install -y podman",,,strict
podman,,install,macos,brew,"无守护进程容器引擎","使用 Homebrew 安装","brew install podman",homebrew,,strict
podman,podman-registries,configure,linux,curl,"为 Podman 配置国内镜像源","编辑 registries.conf 添加阿里云镜像","sudo tee /etc/containers/registries.conf <<-'EOF'\nunqualified-search-registries = [\"docker.io\"]\n[[registry]]\nprefix = \"docker.io\"\nlocation = \"registry.cn-hangzhou.aliyuncs.com\"\nEOF",,,strict
oras,,install,all,go,"OCI 注册表客户端","配置 GOPROXY 后安装","export GOPROXY=https://goproxy.cn,direct; go install oras.land/oras/cmd/oras@latest",go>=1.19,,strict
grafana,,install,linux-debian,apt,"监控可视化平台","使用 apt 安装（添加官方仓库）","sudo apt-get install -y software-properties-common wget; sudo mkdir -p /etc/apt/keyrings; wget -q -O - https://apt.grafana.com/gpg.key | gpg --dearmor | sudo tee /etc/apt/keyrings/grafana.gpg > /dev/null; echo \"deb [signed-by=/etc/apt/keyrings/grafana.gpg] https://apt.grafana.com stable main\" | sudo tee /etc/apt/sources.list.d/grafana.list; sudo apt-get update && sudo apt-get install -y grafana",,,grafana 官方仓库国内可访问,strict
grafana,,install,linux-rhel,dnf,"监控可视化平台","使用 dnf 安装","sudo tee /etc/yum.repos.d/grafana.repo <<-'EOF'\n[grafana]\nname=grafana\nbaseurl=https://rpm.grafana.com\nrepo_gpgcheck=1\nenabled=1\ngpgcheck=1\ngpgkey=https://rpm.grafana.com/gpg.key\nsslverify=1\nsslcacert=/etc/pki/tls/certs/ca-bundle.crt\nEOF\nsudo dnf install -y grafana",,,strict
grafana,,update,linux-debian,apt,"更新 Grafana","使用 apt 更新","sudo apt-get update && sudo apt-get install --only-upgrade -y grafana",,,strict
grafana,,uninstall,linux-debian,apt,"卸载 Grafana","使用 apt 卸载并删除数据","sudo apt remove -y grafana; sudo rm -rf /etc/grafana /var/lib/grafana",,,strict
opentelemetry,,install,all,pip,"可观测性框架 (Python)","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install opentelemetry-api opentelemetry-sdk",python>=3.7,,strict
flipt,,install,all,go,"特性开关服务","配置 GOPROXY 后安装 CLI","export GOPROXY=https://goproxy.cn,direct; go install github.com/flipt-io/flipt@latest",go>=1.19,,strict
istio,,install,linux,curl,"服务网格","下载 istioctl 并安装","curl -L --connect-timeout 60 https://istio.io/downloadIstio | sh -; sudo mv istio-*/bin/istioctl /usr/local/bin/",,,下载较大，建议网络良好时执行,strict
istio,,update,linux,curl,"更新 Istio","重新下载最新 istioctl","curl -L --connect-timeout 60 https://istio.io/downloadIstio | sh -; sudo mv istio-*/bin/istioctl /usr/local/bin/",,,strict
istio,,uninstall,linux,curl,"卸载 Istio","删除 istioctl 及配置","sudo rm -f /usr/local/bin/istioctl; rm -rf ~/.istioctl",,,strict
k3s,,install,linux,curl,"轻量级 Kubernetes","执行官方安装脚本（使用国内加速）","curl -sfL --connect-timeout 30 https://rancher-mirror.rancher.cn/k3s/k3s-install.sh | INSTALL_K3S_MIRROR=cn sh -",,,使用 Rancher 中国镜像,strict
k3s,,update,linux,curl,"更新 K3s","使用国内镜像重新执行安装脚本","curl -sfL --connect-timeout 30 https://rancher-mirror.rancher.cn/k3s/k3s-install.sh | INSTALL_K3S_MIRROR=cn sh -",,,strict
k3s,,uninstall,linux,curl,"卸载 K3s","执行卸载脚本","/usr/local/bin/k3s-uninstall.sh",,,strict
kustomize,,install,all,go,"Kubernetes 配置定制工具","配置 GOPROXY 后安装","export GOPROXY=https://goproxy.cn,direct; go install sigs.k8s.io/kustomize/kustomize/v5@latest",go>=1.19,,strict
kustomize,,update,all,go,"更新 Kustomize","使用 GOPROXY 重新安装","export GOPROXY=https://goproxy.cn,direct; go install sigs.k8s.io/kustomize/kustomize/v5@latest",,,strict
terraform,,install,linux-debian,curl,"基础设施即代码工具","添加 HashiCorp 官方仓库并安装","wget -O- https://apt.releases.hashicorp.com/gpg | gpg --dearmor | sudo tee /usr/share/keyrings/hashicorp-archive-keyring.gpg; echo \"deb [signed-by=/usr/share/keyrings/hashicorp-archive-keyring.gpg] https://apt.releases.hashicorp.com $(lsb_release -cs) main\" | sudo tee /etc/apt/sources.list.d/hashicorp.list; sudo apt update && sudo apt install -y terraform",,,apt.releases.hashicorp.com 国内可访问,strict
terraform,,install,linux-rhel,curl,"基础设施即代码工具","添加 HashiCorp 官方仓库并安装","sudo dnf install -y dnf-plugins-core; sudo dnf config-manager --add-repo https://rpm.releases.hashicorp.com/RHEL/hashicorp.repo; sudo dnf install -y terraform",,,strict
terraform,,install,macos,brew,"基础设施即代码工具","使用 Homebrew 安装","brew install terraform",homebrew,,strict
